TEXT,ANSWER
!  I'm a close frien wel thankyouuu  and i trust your  a close friend .  but whoo aree youuu Fb mail Me :) Pleaseee. ;) x,0.0
! W@N+ YUh 2 T3@R M@ PU$$$Y UHP dnt worry iWill,0.0
! W@NTt Y3Ww TA SW@Ll0wW M@ T@MP0N DH3N PUT !T B@CK IN MY VAGqINA WIT CHOO LIPSZZZ . im sorry datz wun thing iDnt do,0.3333333333333333
! w@N+ yUh +0 $M@(K m3 & m@k3 dH@ SEx w!Ld n h0+ iWill,0.0
! w@n+ y0 b!q d!(k $uRf@(!n m@ l!pSz$ anytyme,0.3333333333333333
! w@n+ yUh t@ m@k3 m3 $w3@+ ohkay iWill,0.0
! w@nN@ l!qqhH+ y0 d!(K 0N f!r3 N d3nN sM0k3 !t w!+ m@ v@q!n@ lol yew on sum otha shxt nd not even dressed in all black,0.3333333333333333
! w@nn@ fuck y0u. @nd y0u d!d f0rq3+ @b0u+ d@+ h03 VvV lol,0.0
! wUnN@ sU(k y0 d!(k so kum nd do it,0.3333333333333333
!M h00000rNyY f0 y@ d!(k n!qq@ ! w@n+ y3w t@ q0 h@rD on dH!S v@q!n@ iDnt think ya ready for it !!,0.0
!f ! @cC3pT wut yuH qon3 duuuu f@ mii tell mi wat ya want mi ta do,0.0
!m @ q!rl d03 ! $0 ju$+ cum @n l!(k m@ cum n m@ pu$$zzy nope iDnt do dat boo,0.3333333333333333
!m@ b3 pu++!n d!$ pu$$zzy 0n y@ $!d3 burn$ !n @ $3c0nd. @l$0 ! D0 d@ b3$+ d33p thr0@+ !n d@ vv0rld. ! C@n $h0v3 13 !nch3$ d0wn m@ +hr0@+ @+ 0nc3. ! @!n+ ly!nq well lemme trow mine dnt yo thoart nd iDnt eat pussy so ya wont be duin daT,0.6666666666666666
"""/ no1 special.. :) stfu<3",0.0
"""A kiss with a fist id better than none""...? I LOVE FLORENCE!!! They are my favourite band! I Actually love Flo so so so much!!!! <3333 She won a brit award for the best album and I actually jumped and screamed I was so excited! I have loved her for AGES though  WAYYYY before they became famous  so its weird to see their name plastered everywhere :) Same with Little Boots  Lady Gaga and Ellie Goulding. I have loved all those people for so long  way before any of them were so famous. Hold on  they are all female! Hmmm.... ;) lol",0.0
"""An obscure compound known as pyrophosphite could have been a source of energy that allowed the first life on Earth to form  scientists now say."" What do you think about this brand new scientific discovery? Kool Pyophosphite made me what I am today ! !  LOL",0.0
"""DAMN GIRL COVER UP UR DAMN ASS BOOBIES!!"" lmfaoo xD WOW. TOO BAD YOU DON'T :/ too bad i dont what?",0.6666666666666666
"""I have one for your information"" WTF. That's MY LIFE  NOT YOURS. You best think twice before you try to steal my stuff  bitch. BITCH WHO THE FUCK SAID I WAS STEALIING YOUR STUFF? DUMB FUCK",1.0
"""I know right ur like only 12 stop acting like a slut""<--- people who say this...need to SHUT THE FUCK UP i bet some of you dont even know Laura   well this nigguhh is fukking amazingg okay? shut up..bye...(I love you laura <33) lmao i love you alex<3333333",0.3333333333333333
"""Innocents and alleys  don't they ever learn?"" What show  which started in 1998  is this quote from?  An extra point if you can tell us who said it.  Another for another quote from the same show. Charmed  said by Prue?  ""Piper: Next time get your own damn lipstick! Prue: I heard that! Piper: I love you! Prue: Bite me!""  (You said nothing about not being able to use Google :P)",0.0
"""Show your face Anonymous"" WTF?! You make no sense you fake ugly bitch i never said i did",1.0
"""The cost of raising a child nears $250K. Health care and other needs will total almost a quarter of a million dollars  not including college."" With this in mind  if you suddenly became a parent [if it's impossible just humor me]  what sort of sacrifices what ever it took to take of my Kid. I have lived in a trailor house for the last ten years to make my child support payments I would do again if I ahd to",0.0
"""The trap I've set for you seems to have caught my leg instead."" Have you ever been in a situation where you set someone up to get in trouble or something like that  and then it all came back on you? no. That's drama I don't need. I rely on being OUTside the law  I don't need attention or drama in my Life",0.0
"""There is a crack in everything. thatu2019s how the light gets in"" many people didnt get the question  when i asked if there shouldnt be a crack i meant is do you think it would be better if things where always good and perfect? no such thing as perfect so yeay  i believe the first line",0.0
"""Why do fools fall in luv""? Why does the rain fall from up above",0.0
"""dating  i would say my ex. which one? i will not say.""r r r i do know(: hahah  think i'd be able to get her back?",0.0
"""hey angel  you duh sexy"" Really?!?! Thanks?! haha",0.0
"""honestly you dont know and dont tell me what to doo foool.""  lmao i love how you sound like me more and more everyday i know babe i love it too<33",0.0
"""i love you laura but if you ended up with tonys baby i would laugh sosoo hard it would be a beautiful baby though ;)""  -chill with that! lol lmfao!foshoo",0.0
"""iloveyoubaby"" ""iloveyoutoobabygirl""  that ^ haha [x Yess it was pretty cute ;)",0.0
"""konkie""r Ain't that a hail of a name?r r Excuse the language please. lmao forgot why u was named that plese tell me again lol",0.0
"""laura why do you hate me so much -_- "" if you tell me who you are then ill tell you..r<br>A",0.0
"""musta""(mooosta)- a Filipino word w/c means how are you.. so  musta? :] bien. which is good in spanish. hahaha musta?",0.0
"""old enough"" doesnt answer my question...lol  how old are u? oh hahaha well ur funny lol:)",0.3333333333333333
"""we dont want you in texas  and oh looks like your old friends dont want you. sucks for you""... Tabi  you are wrong... we dont want YOU in Texas     Jordin we can keep :) uhhhhhhhhhhhhhhhhh? good thing i said that and all hahhahaha",0.3333333333333333
#samlovessimoa :) #simoalovessam <3,0.0
#samlovessimoa :) <3 i love you,0.0
#samlovessimoa :) >.< simoa loves you,0.0
#samlovessimoa :) SIMOA LOVES SAM,0.0
$ ;),0.0
$$$$$i luvvvvvvv u babe !!!!!!!!!!!!!! <33333$$$$ ily too fag!!<33 5/9/10 A&F,0.3333333333333333
$+0p ly!nq. ! $@vv y0 d!(k nope,0.3333333333333333
$3x?? wen??,0.3333333333333333
$3xy Watz gud,0.0
& One more thing   dont be callin her a hoe ; bc yu dont kno what yu fucking with . & Watch who yu calling becky   she aint bout all dat . uh huh damn str8 dey dnt evennn noe me.,0.6666666666666666
& i Didnt Get nobody Dayy Got Demm Selff Aint My faultt Day Dnt Like u Eitherr ! Ugly Ass HOE uh huh and hoe u prob did get em. buh w.e byeeeeeeee,0.8333333333333334
& is your heart better then the rest? yes it is,0.0
"& you're D00D00 AF! Butt Ivee Been Toldd  ""Yurr A Fit'dd Bitchh""  Lmao . Butt Imm Seriouss .",0.3333333333333333
& your pretty damn uqly yourself sweetheart :) uh huh i noe rite i mean u stuk on niggas dick dat aint want u.;],0.8333333333333334
&& HOE DIS IS KIESHAA FUK WIT IT PUSSY AS HOEE U UGLY AH FUK TU let me be ugly buhh trickk u probably uglerrr. :],1.0
&& IF U DNT WANNA BAKK OFF HA DICK DEN HOE U FIN TA HAVE TU GET DHA FADEE ON U STREET HOE. CUSS ITS WATEVAA WEN SOME PUSSY ASSS HOE LYK U GUN TRY DISRESPECT WUN US . I KNO SUMBODY WHO SAID DAY NO U N BITCH WELL FIND YO MUTHA FUKN HOUSE HOE. DNT FUKN TRYUS hoe dnt be anomnous. :],1.0
&& if anyone gets tired of my questions or just generally annoyed with being spammed please let me know. I am not here to bother anyone! Thank you! kkkkk i think ive got this message like 18 times already haha,0.0
&&-im callinq everybody to qo write on my paqe..ask me quesions pweese:) huh you did oh maybe if i do for every questions i send you or how many question i send u i would like to get the same cuz it got two be fare or else it not gonna happen hahaha lol:),0.0
&&-whats the craziest thinqq you did and wheres the craziest place you had sex at?? hmmm how can i remember wat i did inmy past hehe lol well i had got a fake id before & whent two used it in vegas & it so work hehe lol won some cash & it was hella dope lol:) hmmmm at the lifeguard room at the beach late at nite time lol:),0.0
&&it hurts btw. Your butt? too much cream ran to it ;),0.0
') :D,0.0
'It's not even my date and he still gets me out of my skirt' HAHAHAHA! Where is THAT from?!,0.0
( . )( . ) ...r ?,0.0
( 52 + 63 = ) Alright  confession time  how long did it take you to solve that problem ? How many of you used a calculator ? 115  and I did it in my head in 2 seconds,0.0
( =( im sorry my connect flaked out on me and then i had to get up and do some stuff family day sundays =( sorry,0.0
( D,0.0
( [,0.0
( im sowwy. well you seem like the kind of guy that would make a girl very happy. hah thanks  but i dont really think i'm cut out for dating,0.0
( just don't say brb i know u get my offline? i told you this morning and my intention was to come back but my cell phone was being gay i told you that yesterday =( sorry,0.0
( what country are you in ?? colombia (south america) :/ and you?,0.0
(.) (.) boobies are my passion! ... cool?,0.3333333333333333
(///_.)  <--- Emo*r LMAO! ahaha love it :P,0.0
(: 8=======D~~~O,0.0
(: : ),0.0
(: :(,0.0
(: ;(,0.0
(: Stop hating on my page  kthx. why would i wanna hate on you?,0.3333333333333333
(: Tabitha Jai Locascio (: helllo :),0.0
(: ],0.0
(:r cools iLike that pikk lols Thanks. It was in Panama with 7 other chicks. Funn times.,0.0
(; hehe that's funny I want to fuck your tight ass :O haha maybe i know who you are :D,1.0
(If it were to save a life) Would you ever give mouth to mouth to a person with Herpes? Ohhh uhhh?? No to be honest.,0.0
